dataset,group,runs,run_total_median_sec,run_total_mean_sec,run_total_min_sec,run_total_max_sec
test18,test18_phase5_contiguous,3,27.622,27.797666666666665,26.496999999999993,29.274
test18,test18_phase5_round_robin,3,24.939999999999994,25.386,23.990000000000002,27.227999999999998
test18,test18_previous,4,27.777499999999996,26.746750000000002,23.021000000000004,28.41100000000001
test50,test50_phase5_contiguous,3,195.64200000000002,186.68033333333335,164.113,200.28600000000003
test50,test50_phase5_round_robin,3,147.85,145.29000000000002,135.08700000000002,152.93300000000002
